读音,对应的汉字
こう,"高, 降, 稿, 狭, 候, 講, 較, 更, 向, 姜, 広, 構, 光, 宏, 黄, 拡, 淵, 工, 甲, 尻, 拘, 岬, 控, 洪, 酵, 肯, 続, 江, 慌, 仰, 攻, 孝, 衡, 興, 香, 浩, 好, 皇, 鉱, 厚, 恒, 区, 貢, 功, 校, 享, 交, 幌, 晃, 巧, 亨, 鋼, 康, 港, 岡, 公, 亘, 后, 口, 絞, 渕, 峡, 項, 荒, 後, 幸, 航, 綱, 抗, 溝, 紘, 効, 郊, 行, 紅, 弘, 考, 耕, 硬, 購, 格, 確"
こく,"刻, 谷, 殻, 克, 国, 黒, 石, 告, 可, 穀, 酷"
こと,"事, 殊, 言, 異, 琴"
こん,"困, 魂, 近, 根, 懇, 昆, 献, 混, 建, 痕, 恨, 婚, 金, 紺, 今"
ごう,"剛, 合, 楽, 業, 強, 格, 郷, 豪, 号"
さい,"西, 裁, 崎, 財, 殺, 細, 済, 祭, 砕, 債, 彩, 崔, 採, 菜, 災, 栽, 埼, 斎, 最, 再, 宰, 才, 際, 切, 載, 柴, 斉, 歳, 妻, 催"
さか,"栄, 坂, 阪, 盛, 逆"
さく,"削, 策, 数, 酢, 雀, 索, 冊, 昨, 捉, 錯, 作"
さつ,"擦, 察, 薩, 殺, 撮, 札, 刷, 冊"
さと,"覚, 聡, 暁, 悟, 啓, 諭, 里, 郷, 解"
さん,"散, 惨, 残, 酸, 賛, 様, 参, 算, 産, 山, 操, 三, 杉, 傘, 尽"
ざい,"剤, 材, 財, 罪, 在"
しき,"式, 識, 色, 頻, 織"
しつ,"失, 漆, 実, 湿, 疾, 執, 質, 室"
しゃ,"射, 砂, 捨, 卸, 謝, 左, 写, 赦, 沙, 斜, 車, 遮, 予, 煮, 舎, 社, 者"
しゃく,"釈, 昔, 借, 赤, 石, 尺, 雀, 錯, 折"
しゅ,"酬, 輸, 衆, 殊, 種, 朱, 狩, 数, 取, 掃, 修, 須, 趣, 株, 主, 手, 珠, 枢, 首, 諏, 最, 酒, 捜, 守"
しゅう,"習, 拾, 湿, 萩, 就, 渋, 臭, 袖, 舟, 酬, 衆, 収, 宗, 周, 修, 州, 秀, 終, 洲, 寿, 主, 執, 秋, 祝, 週, 集, 捜, 鷲, 襲"
しゅく,"叔, 淑, 縮, 宿, 祝, 粛"
しゅん,"春, 駿, 俊, 淳, 旬, 峻, 瞬"
しょ,"所, 庶, 疎, 書, 野, 曙, 署, 緒, 諸, 処, 暑, 狙, 初"
しょう,"障, 招, 掌, 晶, 証, 賞, 星, 哨, 彰, 昌, 床, 少, 笑, 消, 償, 井, 傷, 挟, 詳, 省, 聖, 粧, 湘, 勝, 性, 沼, 創, 上, 摂, 焦, 承, 昇, 章, 奨, 照, 従, 松, 召, 正, 商, 篠, 将, 尚, 乗, 渉, 咲, 昭, 装, 匠, 肖, 清, 精, 象, 鐘, 相, 姓, 唱, 青, 登, 荘, 焼, 政, 称, 様, 声, 生, 小, 請, 翔, 衝, 接, 祥, 訟, 症, 礁, 紹, 庄"
